,nama_motor,lokasi,harga,kapasitas_mesin,tahun,transmisi,kilometer,merk
0,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,1,5,1
1,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
2,Yamaha Aerox 155 Vva,2,24500000.0,125,2018.0,1,4,1
3,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,1,4,1
4,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,5,1
5,Yamaha Lexi S,8,17800000.0,125,2019.0,1,5,1
6,Yamaha Jupiter Mx Cw,8,12500000.0,125,2017.0,1,5,1
7,Yamaha All New Nmax 155,8,27300000.0,155,2019.0,1,5,1
8,Yamaha Nmax Abs,8,27300000.0,155,2019.0,1,5,1
9,Yamaha Fino Sporty,8,14800000.0,125,2018.0,1,5,1
10,Yamaha Gear 125,8,17500000.0,125,2022.0,1,2,1
11,Yamaha Gear 125 S-version,8,17500000.0,125,2022.0,1,2,1
12,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
13,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,4,1
14,Yamaha All New Xsr 155,1,31900000.0,155,2022.0,1,3,1
15,Yamaha R15 Gp Tech 3,8,24500000.0,155,2018.0,1,5,1
16,Yamaha Scorpio G,8,13900000.0,220,2016.0,1,5,1
17,Yamaha Vixion Extreme,8,13800000.0,150,2017.0,1,5,1
18,Yamaha Vixion Extreme,8,13800000.0,150,2017.0,1,5,1
19,Yamaha R15 Gp Movistar,3,14850000.0,155,2015.0,1,5,1
20,Yamaha R15,3,14855000.0,150,2015.0,1,5,1
21,Yamaha Aerox 155 Vva,4,20500000.0,155,2018.0,1,4,1
22,Yamaha All New R15 155 Vva,4,25500000.0,155,2018.0,1,4,1
23,Yamaha Mio Z 125,4,9300000.0,125,2017.0,1,4,1
24,Yamaha All New Nmax 155,4,26000000.0,155,2019.0,1,4,1
25,Yamaha Lexi S,4,19500000.0,125,2019.0,1,4,1
26,Yamaha WR 155 R,10,32500000.0,155,2020.0,1,2,1
27,Yamaha All New Nmax 155,1,21500000.0,155,2016.0,1,5,1
28,Yamaha Nmax Abs,2,22500000.0,155,2017.0,1,5,1
29,Yamaha Lexi S,1,20600000.0,125,2019.0,1,5,1
30,Yamaha Mio Cw,4,12700000.0,125,2018.0,1,4,1
31,Yamaha All New Nmax 155,4,27000000.0,155,2019.0,1,2,1
32,Yamaha All New Nmax 155 Abs,4,33000000.0,155,2021.0,1,2,1
33,Yamaha Freego,4,17300000.0,125,2019.0,1,4,1
34,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,4,1
35,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,1,5,1
36,Yamaha Nmax Abs,1,24500000.0,155,2018.0,1,5,1
37,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,5,1
38,Yamaha Nmax Abs,3,25850000.0,155,2019.0,1,5,1
39,Yamaha Aerox 155 Vva-s,3,21850000.0,155,2018.0,1,5,1
40,Yamaha Nmax Abs,3,25850000.0,155,2019.0,1,4,1
41,Yamaha Aerox 155 Vva-s,1,28500000.0,155,2020.0,1,4,1
42,Yamaha Freego,5,15000000.0,125,2019.0,1,5,1
43,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
44,Yamaha Lexi,5,18300000.0,125,2019.0,1,5,1
45,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,5,1
46,Yamaha Aerox 155 Vva-s,3,21500000.0,155,2018.0,1,4,1
47,Yamaha New Mio M3 Cw,3,9850000.0,125,2015.0,1,4,1
48,Yamaha Nmax Abs,1,22500000.0,155,2017.0,1,4,1
49,Yamaha Lexi,5,17300000.0,125,2018.0,1,5,1
50,Yamaha N Max,5,24400000.0,155,2018.0,1,5,1
51,Yamaha Mio,1,9500000.0,125,2017.0,1,4,1
52,Yamaha Nmax Abs,3,23400000.0,155,2018.0,1,4,1
53,Yamaha Nmax Abs,3,26700000.0,155,2021.0,1,4,1
54,Yamaha R15 Gp Movistar,3,19700000.0,150,2017.0,1,4,1
55,Yamaha All New Nmax 155,1,22800000.0,155,2017.0,1,5,1
56,Yamaha All New Nmax 155,1,22900000.0,155,2017.0,1,5,1
57,Yamaha New Vixion,4,15800000.0,155,2017.0,1,2,1
58,Yamaha Lexi,2,17900000.0,125,2019.0,1,5,1
59,Yamaha Nmax Abs,2,24500000.0,155,2019.0,1,5,1
60,Yamaha Aerox 155 Vva,4,20500000.0,155,2018.0,1,4,1
61,Yamaha Nmax Abs,1,27500000.0,155,2019.0,1,3,1
62,Yamaha Nmax Abs,1,24300000.0,155,2018.0,1,5,1
63,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,1,4,1
64,Yamaha Nmax Abs,2,23500000.0,155,2019.0,1,5,1
65,Yamaha Nmax Abs,5,25000000.0,155,2019.0,1,4,1
66,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
67,Yamaha XMAX,10,47500000.0,250,2017.0,1,2,1
68,Yamaha Aerox 155 Vva,2,24500000.0,155,2018.0,1,5,1
69,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,5,1
70,Yamaha Aerox 155 Vva,3,20000000.0,155,2018.0,1,5,1
71,Yamaha Nmax Abs,3,23000000.0,155,2018.0,1,4,1
72,Yamaha Nmax Abs,2,22800000.0,155,2017.0,1,5,1
73,Yamaha All New X-ride 125,1,12960000.0,125,2019.0,1,4,1
74,Yamaha Aerox 155 Vva,2,23500000.0,125,2018.0,1,5,1
75,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
76,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,5,1
77,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
78,Yamaha Aerox 155 Vva-s,1,25500000.0,155,2020.0,1,5,1
79,Yamaha Aerox 155 Vva,1,23000000.0,155,2020.0,1,4,1
80,Yamaha Lexi,2,16500000.0,125,2018.0,1,2,1
81,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
82,Yamaha Nmax Abs,1,24500000.0,155,2018.0,1,4,1
83,Yamaha Nmax Abs,2,24500000.0,125,2018.0,1,5,1
84,Yamaha Nmax Special Custom,1,25500000.0,155,2020.0,1,4,1
85,Yamaha Nmax Abs,1,28500000.0,155,2021.0,1,4,1
86,Yamaha Nmax Special Custom,1,23500000.0,155,2018.0,1,4,1
87,Yamaha Aerox 155 Vva,1,19500000.0,155,2017.0,1,4,1
88,Yamaha Lexi S,2,18900000.0,125,2019.0,1,4,1
89,Yamaha R15,2,27000000.0,150,2020.0,1,4,1
90,Yamaha Fazzio Neo,2,23000000.0,125,2022.0,1,3,1
91,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
92,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
