nama_motor,lokasi,harga,deskripsi,kapasitas_mesin,tahun,transmisi,kilometer,url,merk
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150?pid=270638,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250?pid=270646,Kawasaki
Kawasaki Klx 150,Kota Medan,"Rp24,500,000",Kawasaki KLX 150 GTahun 2017Surat kendaraan lengkapPajak plat hidup panjangPajak 09-2023Plat   ,150 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150?pid=271104,Kawasaki
Kawasaki Ninja 250,Kab. Tangerang,"Rp37,000,000",❗️Ready Stock ❗️Dijual Kawasaki ninja 250 tahun 2015Cash : 37.000 ( nego )Si,250 CC,2015,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250?pid=251155,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=251103,Kawasaki
Kawasaki Ninja 250 Abs Se,Kota Jakarta Timur,"Rp52,400,000",SUKSES MOTOR-WA: 081286299300-WEB : www.suksesmotoronline.com-GARANSI MESIN-GRATIS K,110 CC,2018,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-se?pid=250970,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250?pid=250861,Kawasaki
Kawasaki Ninja R,Kota Jakarta Barat,"Rp22,900,000","Kondisi mulus mesin bagus surat lengkap pajak hidup di jamin siap pakai,di jual cash kredit tukar ta",150cc CC,2015,Manual,>30000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-r?pid=250574,Kawasaki
Kawasaki Z 800,Kota Jakarta Barat,"Rp246,000,000","Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali,pajak hidup dan unit siap pak",900 CC,2017,Manual,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-z-800?pid=250482,Kawasaki
Kawasaki Ninja Rr,Kab. Bandung,"Rp34,500,000",MOKASBERKELAS LAMPEGAN MOTORSELALU WA KE 081394510605 UNTUK KETERSEDIAAN UNIT UN,150 CC,2015,Manual,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-rr?pid=250370,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-r?pid=250381,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150?pid=250375,Kawasaki
Kawasaki Ninja 250 Fi,Kab. Tangerang,"Rp38,000,000",❗️Ready Stock ❗️Dijual Kawasaki ninja 250 fi tahun 2021Cash : 38.000 ( nego )Lihat selengkapnya.,250 CC,2021,Manual,>30000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=250273,Kawasaki
Kawasaki W 175 Cafe,Kota Jakarta Selatan,"Rp23,600,000","Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali,pajak hidup siap pakai",175 CC,2019,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w-175-cafe?pid=250266,Kawasaki
Kawasaki W 175 Cafe,Kota Jakarta Selatan,"Rp21,500,000","Motor mulus dan bagus,mesin mulus pajak hidup,stater jreng,kaki nyaman dan siap pakai",175 CC,2018,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w-175-cafe?pid=250264,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w-175-cafe?pid=250211,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w-175-cafe?pid=250212,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-rr-250-mono?pid=250210,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-r?pid=250209,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-r?pid=250208,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-new-ninja-250-r?pid=250207,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-mdp-abs-se?pid=250206,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-bf-se?pid=250205,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-bf-se?pid=250204,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-bf-se?pid=250203,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150-se?pid=250202,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150?pid=250201,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=250077,Kawasaki
Kawasaki Ninja Zx 25 R,Kota Bandung,"Rp120,500,000","motor bekas siap pakai cash atau kredit begaransi mesin 3 bln ,free service 6x .",250cc CC,2021,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-zx-25-r?pid=249998,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150?pid=249901,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-bf-se?pid=249899,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-bf-se?pid=249898,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-g?pid=249896,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-mdp-abs-se?pid=249894,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=249892,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=249891,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-fi?pid=249889,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-rr-250-mono?pid=249810,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w175-se?pid=249809,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w175-se?pid=249808,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w175-se?pid=249807,Kawasaki
Kawasaki Ninja Zx6r,Kota Jakarta Barat,"Rp365,000,000","Motor bagus dan mulus, surat surat lengkap dan tidak ada kendala dan tenaga motor kuat dan siap paka",600 CC,2021,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-zx6r?pid=249750,Kawasaki
Kawasaki Ninja 250,Kota Jakarta Barat,"Rp37,500,000","Motor mulus dan bagus, surat2 lengkap dan tidak ada kendala sama sekali,unit bisa di jamin masih,dan",250 CC,2016,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250?pid=249748,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=249549,Kawasaki
Kawasaki New Z250 Sl,Kota Bandung,"Rp41,000,000",semakin mudah beli motor bekas siap pakai dan berkualitas cash atau kredit pembiayaan melalui adira ,250cc CC,2018,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-new-z250-sl?pid=249457,Kawasaki
