nama_motor,lokasi,harga,deskripsi,kapasitas_mesin,tahun,transmisi,kilometer,url,merk
Suzuki Gsx R150,Kota Medan,"Rp16,900,000","Suzuki GSX-R 150 Keyless Tahun 2017 Pemakaian 2018
Surat kendaraan lengkap
Pajak plat hidup panjang",150 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=269210,Suzuki
Suzuki Satria Fu 150,Kota Jakarta Selatan,"Rp10,500,000",Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali.pajak hidup dan unit siap pak,150 CC,2015,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-satria-fu-150?pid=250310,Suzuki
,,,,,,,,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=250200,Suzuki
,,,,,,,,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=250199,Suzuki
Suzuki Gsx R150,Kab. Tangerang,"Rp23,500,000",❗️Ready Stock ❗️Dijual Suzuki GSX R150 tahun 2021Cash : 23.500 ( nego )Simul,150 CC,2021,Manual,5000 - 10000KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=250073,Suzuki
,,,,,,,,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=249806,Suzuki
,,,,,,,,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=249805,Suzuki
Suzuki Gsx R150,Kota Bandung,"Rp16,500,000","motor bekas berkualitas motor siap pakai ,cash atau kredit pembiayaan di adira finance .artomor",150cc CC,2018,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=249242,Suzuki
Suzuki Gsx R150,Kab. Tangerang,"Rp23,500,000",❗️Ready Stock ❗️Dijual Suzuki gsx r 150 Tahun 2021Cash : 23.500 ( nego )Simu,150 CC,2021,Manual,5000 - 10000KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=249020,Suzuki
Suzuki Gsx 150 Bandit,Kota Jakarta Barat,"Rp18,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,150 CC,2018,Manual,>30000 KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-150-bandit?pid=249007,Suzuki
Suzuki Satria F 150,Kota Jakarta Utara,"Rp12,500,000",Dijual Suzuki Satria F 150 Tahun 2017 Surat Surat Lengkap Pajak Panjang Plat BSpesifikasi Lihat selengkapnya.,150cc CC,2017,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-satria-f-150?pid=248457,Suzuki
Suzuki Gsx R150,Kab. Tangerang,"Rp17,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,150 CC,2019,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=248238,Suzuki
Suzuki Gsx R150,Kota Medan,"Rp16,900,000","Suzuki GSX-R 150 Keyless Tahun 2017 Pemakaian 2018
Surat kendaraan lengkap
Pajak plat hidup panjang",150 CC,2017,Manual,>30000 KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=269210,Suzuki
Suzuki Satria Fu 150,Kota Jakarta Selatan,"Rp10,500,000",Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali.pajak hidup dan unit siap pak,150 CC,2015,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-satria-fu-150?pid=250310,Suzuki
,,,,,,,,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=250200,Suzuki
,,,,,,,,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=250199,Suzuki
Suzuki Gsx R150,Kab. Tangerang,"Rp23,500,000",❗️Ready Stock ❗️Dijual Suzuki GSX R150 tahun 2021Cash : 23.500 ( nego )Simul,150 CC,2021,Manual,5000 - 10000KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=250073,Suzuki
,,,,,,,,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=249806,Suzuki
,,,,,,,,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=249805,Suzuki
Suzuki Gsx R150,Kota Bandung,"Rp16,500,000","motor bekas berkualitas motor siap pakai ,cash atau kredit pembiayaan di adira finance .artomor",150cc CC,2018,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=249242,Suzuki
Suzuki Gsx R150,Kab. Tangerang,"Rp23,500,000",❗️Ready Stock ❗️Dijual Suzuki gsx r 150 Tahun 2021Cash : 23.500 ( nego )Simu,150 CC,2021,Manual,5000 - 10000KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=249020,Suzuki
Suzuki Gsx 150 Bandit,Kota Jakarta Barat,"Rp18,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,150 CC,2018,Manual,>30000 KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-150-bandit?pid=249007,Suzuki
Suzuki Satria F 150,Kota Jakarta Utara,"Rp12,500,000",Dijual Suzuki Satria F 150 Tahun 2017 Surat Surat Lengkap Pajak Panjang Plat BSpesifikasi Lihat selengkapnya.,150cc CC,2017,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-satria-f-150?pid=248457,Suzuki
Suzuki Gsx R150,Kab. Tangerang,"Rp17,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,150 CC,2019,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/suzuki/suzuki-gsx-r150?pid=248238,Suzuki
